optimizer,activation,NCC,NIC,ACC,PRC_weighted,RCL_weighted,F1S_weighted,PRC_macro,RCL_macro,F1S_macro,INF_total_sec,INF_per_sample_sec
sgd,relu,176,28,0.8627450980392157,0.866703718735886,0.8627450980392157,0.8636023970079165,0.869185342740541,0.8627946127946128,0.8648875589481525,0.012628055003006011,6.19022304068922e-05
rmsprop,elu,176,28,0.8627450980392157,0.8641799158003651,0.8627450980392157,0.8628507936299834,0.8649661164574173,0.86489898989899,0.8643224627010216,0.010816116999194492,5.302018136860045e-05
adam,leakyrelu,175,29,0.8578431372549019,0.8578889897328266,0.8578431372549019,0.857266940152486,0.8596432015429123,0.8585858585858586,0.8585075586234024,0.012203810998471454,5.9822602933683595e-05
adam,relu,172,32,0.8431372549019608,0.8427882412620998,0.8431372549019608,0.8400199846020279,0.8429919584588154,0.8472222222222223,0.8422352176738142,0.011778847998357378,5.773945097234009e-05
sgd,leakyrelu,171,33,0.8382352941176471,0.8389100908351359,0.8382352941176471,0.838483561355506,0.8400038238480659,0.8396464646464646,0.8397344936025578,0.012309140998695511,6.033892646419368e-05
adam,elu,168,36,0.8235294117647058,0.8264817290552585,0.8235294117647058,0.8244920184159434,0.8290945165945166,0.8244949494949494,0.8262917562121558,0.015495739004109055,7.595950492210322e-05
rmsprop,relu,168,36,0.8235294117647058,0.8243040966386554,0.8235294117647058,0.8235642762617761,0.8263392857142856,0.8261784511784512,0.8259001975654834,0.011388631995941978,5.582662743108813e-05
rmsprop,leakyrelu,162,42,0.7941176470588235,0.8077841957120028,0.7941176470588235,0.7975496040913399,0.8115851428191402,0.7937710437710438,0.7993282738157833,0.011949131003348157,5.8574171585039985e-05
sgd,elu,156,48,0.7647058823529411,0.7613905656159178,0.7647058823529411,0.7626563841458829,0.7639764513003949,0.7676767676767677,0.7654238905948892,0.014329845995234791,7.024434311389603e-05
