epoch,train_loss,train_accuracy
1,1.008589577441122,0.4803921568627451
2,0.9012059549230895,0.576797385620915
3,0.8493156131186517,0.6127450980392157
4,0.8152458441802879,0.6394335511982571
5,0.7818985633990344,0.6519607843137255
6,0.7750513150411493,0.6519607843137255
7,0.7400136704278667,0.6770152505446623
8,0.7249115659390659,0.6944444444444444
9,0.711851509178386,0.7080610021786492
10,0.7030437352350855,0.6900871459694989
11,0.6906480254171201,0.7167755991285403
12,0.6964615642505014,0.7026143790849673
13,0.6727908872116625,0.7096949891067538
14,0.6717318892154299,0.7037037037037037
15,0.6520996649540588,0.7162309368191722
16,0.6647636382343463,0.7194989106753813
17,0.6464077391720545,0.7265795206971678
18,0.643716427917574,0.7325708061002179
19,0.6373917230593613,0.7293028322440087
20,0.6418775594052666,0.7336601307189542
21,0.6223672621909829,0.7380174291938998
22,0.6271006558131029,0.7374727668845316
23,0.6230086954980115,0.738562091503268
24,0.6138525167906207,0.7478213507625272
25,0.6053088355752637,0.7396514161220044
26,0.6009372256550134,0.7505446623093682
27,0.60805839280677,0.7450980392156863
28,0.6118436517246668,0.7401960784313726
29,0.6089755531424791,0.7429193899782135
30,0.5909829583497868,0.7592592592592593
31,0.5856930256084679,0.7538126361655774
32,0.5778024483610082,0.7570806100217865
33,0.5981398673164039,0.7505446623093682
34,0.6016365632999177,0.7478213507625272
35,0.5730700199705323,0.7690631808278867
36,0.571687456991418,0.764161220043573
37,0.5803285107049028,0.7603485838779956
38,0.5796737373037536,0.7483660130718954
39,0.5589056872724188,0.7690631808278867
40,0.5822486827446225,0.7549019607843137
41,0.5764223777228451,0.7538126361655774
42,0.557171077461414,0.7761437908496732
43,0.5690173518423941,0.7592592592592593
44,0.544593548706544,0.7750544662309368
45,0.5617424755606776,0.7636165577342048
46,0.5585786933992424,0.7625272331154684
47,0.5578928102530166,0.7685185185185185
48,0.5716543041153411,0.7516339869281046
49,0.5481783709365039,0.7685185185185185
50,0.5468125238787375,0.7679738562091504
51,0.5505890961501074,0.7712418300653595
52,0.5415341076248352,0.7761437908496732
53,0.5390344155639865,0.7761437908496732
54,0.5453064369772255,0.7750544662309368
55,0.5397161374392073,0.7706971677559913
56,0.5441921872121317,0.7794117647058824
57,0.5482017011554153,0.7663398692810458
58,0.5498357471687342,0.7679738562091504
59,0.5271185947529371,0.7843137254901961
60,0.5153526751758746,0.7924836601307189
61,0.529860389989056,0.7761437908496732
62,0.5258327585630816,0.7794117647058824
63,0.5403212161819919,0.778322440087146
64,0.5168671860868894,0.7990196078431373
65,0.525354727859201,0.778322440087146
66,0.5357026394805617,0.7630718954248366
67,0.526507292356756,0.7772331154684096
68,0.5182938721834445,0.7837690631808278
69,0.5097637933258917,0.7946623093681917
70,0.5113493526812992,0.7870370370370371
71,0.5227053477905674,0.7799564270152506
72,0.5193303141556275,0.7815904139433552
73,0.4971022857819767,0.7990196078431373
74,0.5123542529208208,0.7908496732026143
75,0.5047741310188064,0.7984749455337691
76,0.5072605995246268,0.7908496732026143
77,0.5192975542773868,0.7821350762527233
78,0.5144040272418969,0.7864923747276689
79,0.5057436879521362,0.7913943355119826
80,0.5114490246168928,0.7919389978213508
81,0.5068815263852574,0.7973856209150327
82,0.5105763435818271,0.7848583877995643
83,0.5227822165424917,0.7799564270152506
84,0.5305253421981091,0.7717864923747276
85,0.5146760843807835,0.7859477124183006
86,0.503722126674808,0.7924836601307189
87,0.5151674462754222,0.775599128540305
88,0.517484758479403,0.7788671023965141
89,0.5207547479692627,0.7854030501089324
90,0.4842779574376046,0.7903050108932462
91,0.5078378521750047,0.7990196078431373
92,0.5038725047459529,0.7870370370370371
93,0.4900045230789901,0.8017429193899782
94,0.5104793797131457,0.7924836601307189
95,0.5056273642286236,0.7913943355119826
96,0.5005084276361663,0.80119825708061
97,0.5013711139527282,0.7843137254901961
98,0.517170550622257,0.7805010893246187
99,0.48982408670363603,0.8088235294117647
100,0.4763027876534363,0.8044662309368191
