optimizer,activation,accuracy_mean,accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std
sgd,relu,0.8230392156862745,0.015049099444126217,0.8260946016363115,0.8252946127946128,0.8246256171153759,0.014757259966882494
adam,leakyrelu,0.8166666666666667,0.01719184109485311,0.817681204165552,0.8193181818181818,0.8174513117094886,0.01699325780329164
adam,relu,0.8132352941176471,0.010311609788216995,0.8164408168791756,0.8153198653198652,0.8144514471259979,0.010320709105291537
sgd,leakyrelu,0.8019607843137255,0.01638677906906544,0.804081779247902,0.8056818181818182,0.8028442121874484,0.015545011914333665
rmsprop,elu,0.8014705882352942,0.031099454756003737,0.8019209704128614,0.8062289562289562,0.7992823416993508,0.034295435180813606
adam,elu,0.7941176470588236,0.01054206527823856,0.7993168126016881,0.7955387205387205,0.7958780229021754,0.010705220701504465
rmsprop,leakyrelu,0.7887254901960785,0.02886543239301434,0.798437525547491,0.7934343434343434,0.7871747729018364,0.02907209648723044
rmsprop,relu,0.7764705882352941,0.014228358111470572,0.7851157961032426,0.780513468013468,0.7764707577903289,0.013307139482860789
sgd,elu,0.7627450980392156,0.02347061690171393,0.7700979821268914,0.765446127946128,0.7638651860067656,0.026519443341585677
