optimizer,ACC_mean,ACC_std,PRC_mean,PRC_std,RCL_mean,RCL_std,F1S_mean,F1S_std,INF_per_sample_mean,INF_per_sample_std
Adam,0.6852941176470588,0.020255836775876834,0.6790802144634511,0.022912454013844778,0.6852941176470588,0.020255836775876834,0.6760370223434413,0.022796947483858333,0.010376107415688203,7.124589102802614e-05
RMSProp,0.6897058823529412,0.015365125508487745,0.6871656618433758,0.018247437959374172,0.6897058823529412,0.015365125508487745,0.6800840134736275,0.01742891459287776,0.010360838604900018,0.00010064469470476443
SGD,0.6926470588235294,0.0343836821897062,0.6898633732876381,0.03810909384722361,0.6926470588235294,0.0343836821897062,0.6849075693867737,0.035347481155079984,0.010424019285293231,0.00017099509939398164
