accuracy,macro_precision,macro_recall,macro_f1,optimizer,activation,fold
0.8333333333333334,0.8372829570012669,0.8352272727272728,0.8358426419301933,sgd,relu,1
0.8186274509803921,0.8164380002952946,0.8215488215488215,0.8173325765673639,sgd,relu,2
0.821078431372549,0.8237237656475406,0.8228114478114478,0.8232430130934363,sgd,relu,3
0.8014705882352942,0.8108043783540472,0.8034511784511785,0.8048217688684698,sgd,relu,4
0.8406862745098039,0.8422239068834086,0.8434343434343434,0.8418880851174162,sgd,relu,5
0.7843137254901961,0.7842144670790727,0.7874579124579123,0.7854374779710328,sgd,leakyrelu,1
0.8088235294117647,0.8090094952523739,0.8127104377104377,0.8089130855117999,sgd,leakyrelu,2
0.8063725490196079,0.8086870619151826,0.8106060606060606,0.8066860204648495,sgd,leakyrelu,3
0.7867647058823529,0.792869757174393,0.7897727272727272,0.7895055613907034,sgd,leakyrelu,4
0.8235294117647058,0.8256281148184875,0.8278619528619529,0.8236789155988563,sgd,leakyrelu,5
0.7524509803921569,0.770695665191078,0.7537878787878788,0.758863322016849,sgd,elu,1
0.7745098039215687,0.7774906329385427,0.7760942760942761,0.7761198704420668,sgd,elu,2
0.7352941176470589,0.7323016963331689,0.7428451178451178,0.7268345112354316,sgd,elu,3
0.7549019607843137,0.7674895489440026,0.7544191919191919,0.7584649980034887,sgd,elu,4
0.7965686274509803,0.8025123672276648,0.8000841750841751,0.7990432283359915,sgd,elu,5
0.8088235294117647,0.8175250817121983,0.8089225589225588,0.8112657763770357,adam,relu,1
0.803921568627451,0.8032984044933315,0.8072390572390571,0.8031130857380898,adam,relu,2
0.8308823529411765,0.8300380581082335,0.8337542087542088,0.8311956889734086,adam,relu,3
0.8112745098039216,0.810738896325761,0.8135521885521886,0.8118368642820846,adam,relu,4
0.8112745098039216,0.8206036437563532,0.8131313131313131,0.8148458202593708,adam,relu,5
0.8333333333333334,0.8337252777600748,0.8362794612794614,0.833896212368813,adam,leakyrelu,1
0.8063725490196079,0.8059053261592407,0.8085016835016835,0.8052139985281039,adam,leakyrelu,2
0.8259803921568627,0.8277677890876811,0.828493265993266,0.8279144147483998,adam,leakyrelu,3
0.7916666666666666,0.7958795390302239,0.7941919191919192,0.794025510488619,adam,leakyrelu,4
0.8259803921568627,0.8251280887905393,0.8291245791245792,0.8262064224135074,adam,leakyrelu,5
0.8063725490196079,0.8154521523597996,0.8063973063973066,0.8083259850777504,adam,elu,1
0.7916666666666666,0.7909132334969655,0.7944023569023569,0.7900553901181747,adam,elu,2
0.7843137254901961,0.7920939103084296,0.7855639730639732,0.7880549082712117,adam,elu,3
0.7843137254901961,0.7872810795291415,0.7868265993265994,0.7862878596544022,adam,elu,4
0.803921568627451,0.810843687314104,0.8045033670033671,0.8066659713893379,adam,elu,5
0.7867647058823529,0.7987339866624517,0.7868265993265994,0.7907145025268556,rmsprop,relu,1
0.7696078431372549,0.7779927109615924,0.7720959595959597,0.7744521337946942,rmsprop,relu,2
0.7818627450980392,0.781420998279562,0.7853535353535354,0.7819197170073892,rmsprop,relu,3
0.7549019607843137,0.7629239584989312,0.7605218855218855,0.7550741989077295,rmsprop,relu,4
0.7892156862745098,0.8045073261136757,0.7977693602693603,0.7801932367149759,rmsprop,relu,5
0.8308823529411765,0.8372986116782473,0.8362794612794612,0.8294821467094122,rmsprop,leakyrelu,1
0.7647058823529411,0.7769244561319627,0.7723063973063974,0.7592167921574022,rmsprop,leakyrelu,2
0.8063725490196079,0.8057474773486396,0.8112373737373738,0.8040741747455528,rmsprop,leakyrelu,3
0.7745098039215687,0.7834854569794328,0.7744107744107743,0.7757546135845256,rmsprop,leakyrelu,4
0.7671568627450981,0.7887316255991731,0.7729377104377105,0.7673461373122888,rmsprop,leakyrelu,5
0.7622549019607843,0.7594380753407423,0.7691498316498316,0.7552750419444406,rmsprop,elu,1
0.8284313725490197,0.8285547124832839,0.8331228956228957,0.8267738890411426,rmsprop,elu,2
0.8284313725490197,0.8298852957435047,0.8312289562289562,0.8296843441277514,rmsprop,elu,3
0.7745098039215687,0.7783794377321143,0.7811447811447811,0.7700728275749139,rmsprop,elu,4
0.8137254901960784,0.8133473307646616,0.8164983164983165,0.8146056058085053,rmsprop,elu,5
