optimizer,NCC,NIC,ACC,PRC,RCL,F1S,PRC_macro,RCL_macro,F1S_macro,INF_total_sec,INF_per_sample_sec
RMSProp,142,62,0.696078431372549,0.6993140290171797,0.696078431372549,0.6957930590076405,0.7017887856897144,0.6994949494949495,0.6986958789775691,2.109539811999639,0.010340881431370779
Adam,142,62,0.696078431372549,0.6921618510417866,0.696078431372549,0.6892639517922583,0.6931148075668623,0.7015993265993266,0.6926317988162661,2.19034806000127,0.010737000294123873
SGD,139,65,0.6813725490196079,0.6772756919815743,0.6813725490196079,0.6716529622601728,0.677985677985678,0.6877104377104377,0.6753882915173238,2.110433456999999,0.010345262044117643
