session_id,tag_local_id,distance_cm,orientation_deg,repetitions
S20251104_S1_TAG10_d4_o0_run1,TAG10,4,0,100
S20251104_S1_TAG10_d1_o45_run1,TAG10,1,45,100
S20251104_S1_TAG10_d3_o45_run1,TAG10,3,45,100
S20251104_S1_TAG10_d4_o45_run1,TAG10,4,45,100
S20251104_S1_TAG10_d1_o90_run1,TAG10,1,90,100
S20251104_S1_TAG10_d3_o90_run1,TAG10,3,90,100
S20251104_S1_TAG10_d4_o90_run1,TAG10,4,90,100
S20251104_S1_TAG11_d1_o0_run1,TAG11,1,0,100
S20251104_S1_TAG11_d3_o0_run1,TAG11,3,0,100
S20251104_S1_TAG11_d4_o0_run1,TAG11,4,0,100
S20251104_S1_TAG11_d1_o45_run1,TAG11,1,45,100
S20251104_S1_TAG11_d3_o45_run1,TAG11,3,45,100
S20251104_S1_TAG11_d4_o45_run1,TAG11,4,45,100
S20251104_S1_TAG11_d1_o90_run1,TAG11,1,90,100
S20251104_S1_TAG11_d3_o90_run1,TAG11,3,90,100
S20251104_S1_TAG11_d4_o90_run1,TAG11,4,90,100
S20251104_S1_TAG12_d1_o0_run1,TAG12,1,0,100
S20251104_S1_TAG12_d3_o0_run1,TAG12,3,0,100
S20251104_S1_TAG12_d4_o0_run1,TAG12,4,0,100
S20251104_S1_TAG12_d1_o45_run1,TAG12,1,45,100
S20251104_S1_TAG12_d3_o45_run1,TAG12,3,45,100
S20251104_S1_TAG12_d4_o45_run1,TAG12,4,45,100
S20251104_S1_TAG12_d1_o90_run1,TAG12,1,90,100
S20251104_S1_TAG12_d3_o90_run1,TAG12,3,90,100
S20251104_S1_TAG12_d4_o90_run1,TAG12,4,90,100
