fold,accuracy,macro_f1,normal_f1,wired_relay_f1,wireless_relay_f1
tag1,0.5508076181292189,0.553962709250102,0.6618881277503063,0.0,1.0
tag2,0.5555086788813887,0.4359687563115828,0.7876522110660116,0.0,0.5202540578687368
tag3,0.9838466638538967,0.971216240938641,1.0,0.9814968240817453,0.9321518987341773
tag4,0.5192574287264179,0.43745852081686515,0.9271745987243288,0.03834096937545214,0.34685999435081444
