optimizer,activation,accuracy_mean,accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std
adam,relu,0.9999849318164695,3.369348267158562e-05,0.9999887005649718,0.999954802259887,0.9999717432703676,6.318396828003934e-05
rmsprop,elu,0.9999849318164695,3.369348267158562e-05,0.9999887005649718,0.999954802259887,0.9999717432703676,6.318396828003934e-05
adam,leakyrelu,0.9999547965845739,6.738633081131571e-05,0.9999661055245831,0.9998983031692626,0.9999321861478029,9.498239985498372e-05
adam,elu,0.9998643886185562,0.0001117482573525061,0.9998305639807581,0.9996610131181862,0.9997456174474634,0.00020972731340567331
rmsprop,leakyrelu,0.999397272658781,0.0013060299723770068,0.998398271931946,0.9995140495899429,0.9989463547841471,0.0022778640519479395
sgd,leakyrelu,0.9972274587710535,0.003009589067759032,0.9931105984609321,0.9970055271265933,0.9949667384005298,0.005397673230929819
sgd,relu,0.9965646891342583,0.006810561250355775,0.9972220580355758,0.9900338848967027,0.9932698157660127,0.01341330633770147
rmsprop,relu,0.995660363143223,0.009703723009416703,0.9891434900417815,0.9967113146631192,0.9924120478515945,0.01696717681385019
sgd,elu,0.9438725930935116,0.02974676664461435,0.91451346919523,0.8711839771249418,0.8732561870750771,0.10087124596885062
